DeathspeakerDarq The Dark Knight had slain a lightning elemental#November 8, 2025 at 07:39
Sara the Titan of Ether had slain a skeletal knight#November 8, 2025 at 07:39
DeathspeakerDarq The Dark Knight had slain a hippogriff#November 8, 2025 at 07:39
Sara the Titan of Ether had slain a bodak#November 8, 2025 at 07:39
Sara the Titan of Ether had slain a mummy#November 8, 2025 at 07:39
DeathspeakerDarq The Dark Knight had slain a lightning elemental#November 8, 2025 at 07:39
Sara the Titan of Ether had slain a skeletal wizard#November 8, 2025 at 07:39
Sara the Titan of Ether had slain a wraith#November 8, 2025 at 07:39
DeathspeakerDarq The Dark Knight had slain a griffon#November 8, 2025 at 07:39
Sara the Titan of Ether had slain a spectre#November 8, 2025 at 07:39
DeathspeakerDarq The Dark Knight had slain a dusk dragon#November 8, 2025 at 07:39
Sara the Titan of Ether had slain a mummy#November 8, 2025 at 07:39
DeathspeakerDarq The Dark Knight had slain an electrical elemental#November 8, 2025 at 07:38
DeathspeakerDarq The Dark Knight had slain an air elemental#November 8, 2025 at 07:38
DeathspeakerDarq The Dark Knight had slain a hippogriff#November 8, 2025 at 07:38
DeathspeakerDarq The Dark Knight had slain a storm cloud#November 8, 2025 at 07:38
Sara the Titan of Ether had slain a bone magi#November 8, 2025 at 07:38
DeathspeakerDarq The Dark Knight had slain an elder gargoyle#November 8, 2025 at 07:38
DeathspeakerDarq The Dark Knight had slain an air elemental#November 8, 2025 at 07:38
Sara the Titan of Ether had slain a bone knight#November 8, 2025 at 07:38
Sara the Titan of Ether had slain a bodak#November 8, 2025 at 07:38
Sara the Titan of Ether had slain a ghoul#November 8, 2025 at 07:37
Sara the Titan of Ether had slain a skeletal mage#November 8, 2025 at 07:37
Sara the Titan of Ether had slain a mummy#November 8, 2025 at 07:37
Sara the Titan of Ether had slain a bodak#November 8, 2025 at 07:37
Sara the Titan of Ether had slain a wraith#November 8, 2025 at 07:37
Sara the Titan of Ether had slain a skeletal mage#November 8, 2025 at 07:37
Sara the Titan of Ether had slain a wraith#November 8, 2025 at 07:36
Sara the Titan of Ether had slain a bone magi#November 8, 2025 at 07:36
Sara the Titan of Ether had slain a skeletal knight#November 8, 2025 at 07:36
DeathspeakerDarq The Dark Knight had slain a spinel elemental#November 8, 2025 at 07:35
Sara the Titan of Ether had slain Bathsin the rock daemon#November 8, 2025 at 07:35
DeathspeakerDarq The Dark Knight had slain Gerri of the Arcane Shield#November 8, 2025 at 07:34
Sara the Titan of Ether had slain Frulos the sand giant#November 8, 2025 at 07:34
Sara the Titan of Ether had slain Niver the sand giant#November 8, 2025 at 07:33
Sara the Titan of Ether had slain an obsidian dragon#November 8, 2025 at 07:33
Sara the Titan of Ether had slain Hydra of Usynt#November 8, 2025 at 07:32
Sara the Titan of Ether had slain Suslorpabon the obsidian balrog of the deep#November 8, 2025 at 07:31
Sara the Titan of Ether had slain Shagradb the sand giant#November 8, 2025 at 07:30
Sara the Titan of Ether had slain a dune beetle#November 8, 2025 at 07:30
Sara the Titan of Ether had slain Dregoth the mountain wyrm#November 8, 2025 at 07:30
Sara the Titan of Ether had slain Naberrs the obsidian daemon#November 8, 2025 at 07:29
Menelif the Elder Elementalist had slain Verthag the orc warrior#November 8, 2025 at 07:29
Menelif the Elder Elementalist had slain a sand vortex#November 8, 2025 at 07:29
Sara the Titan of Ether had slain an ancient sphinx#November 8, 2025 at 07:29
Menelif the Elder Elementalist had slain an anhkheg#November 8, 2025 at 07:29
Sara the Titan of Ether had slain a royal sphinx#November 8, 2025 at 07:28
Sara the Titan of Ether had slain an iguanodon#November 8, 2025 at 07:28
Sara the Titan of Ether had slain a manticore#November 8, 2025 at 07:28
Menelif the Elder Elementalist had slain a dust elemental#November 8, 2025 at 07:27
Menelif the Elder Elementalist had slain a sand vortex#November 8, 2025 at 07:27
Sara the Titan of Ether had slain Assoaz the agapite balrog of the deep#November 8, 2025 at 07:10
Sara the Titan of Ether had slain a hell lion#November 8, 2025 at 07:10
Sara the Titan of Ether had slain a hell hound#November 8, 2025 at 07:09
Sara the Titan of Ether had slain a hell hound#November 8, 2025 at 07:09
Sara the Titan of Ether had slain a hell hound#November 8, 2025 at 07:09
Sara the Titan of Ether had slain a succubus#November 8, 2025 at 07:09
Sara the Titan of Ether had slain a succubus#November 8, 2025 at 07:08
Sara the Titan of Ether had slain a succubus#November 8, 2025 at 07:08
Sara the Titan of Ether had slain a hell hound#November 8, 2025 at 07:08
Sara the Titan of Ether had slain a hell lion#November 8, 2025 at 07:08
Sara the Titan of Ether had slain a hell hound#November 8, 2025 at 07:07
Sara the Titan of Ether had slain a hell lion#November 8, 2025 at 07:07
Sara the Titan of Ether had slain a hell cat#November 8, 2025 at 07:07
Sara the Titan of Ether had slain a hell cat#November 8, 2025 at 07:07
Sara the Titan of Ether had slain Agymi the ork conjurer of elements#November 8, 2025 at 07:03
Sara the Titan of Ether had slain Sergulath the velvet balron of the deep#November 8, 2025 at 07:03
Sara the Titan of Ether had slain Subira the ork witch of the ork sea#November 8, 2025 at 07:02
Sara the Titan of Ether had slain Khalduh the ork mage of death#November 8, 2025 at 07:02
Menelif the Elder Elementalist had slain Hydra of Brou#November 8, 2025 at 07:01
Sara the Titan of Ether had slain Tapis the ork mage of hysteria#November 8, 2025 at 07:01
