Shadow the Adept Thief had slain a dull copper elemental#November 11, 2025 at 14:09
Shadow the Adept Thief had slain a dull copper elemental#November 11, 2025 at 14:08
Shadow the Adept Thief had slain a drake#November 11, 2025 at 14:08
Shadow the Adept Thief had slain a fire elemental#November 11, 2025 at 14:07
Shadow the Adept Thief had slain an elder gazer#November 11, 2025 at 14:07
Shadow the Adept Thief had slain a shadow iron elemental#November 11, 2025 at 14:06
Shadow the Adept Thief had slain an air elemental#November 11, 2025 at 14:06
Lars the Grandmaster Fencer had slain an elder polar bear#November 11, 2025 at 14:05
Lars the Grandmaster Fencer had slain an arctic ogre#November 11, 2025 at 14:05
Lars the Grandmaster Fencer had slain a sapphire elemental#November 11, 2025 at 14:05
Lars the Grandmaster Fencer had slain a winter wolf#November 11, 2025 at 14:04
Lars the Grandmaster Fencer had slain an ice serpent#November 11, 2025 at 14:04
Lars the Grandmaster Fencer had slain an arctic ettin#November 11, 2025 at 14:04
Lars the Grandmaster Fencer had slain a sapphire elemental#November 11, 2025 at 14:03
Shadow the Adept Thief had slain a mud elemental#November 11, 2025 at 14:03
Lars the Grandmaster Fencer had slain an ice elemental#November 11, 2025 at 14:02
Shadow the Adept Thief had slain Zurbag the orc#November 11, 2025 at 14:02
Shadow the Adept Thief had slain Fodagog the orc shaman#November 11, 2025 at 14:02
Lars the Grandmaster Fencer had slain an elder polar bear#November 11, 2025 at 14:02
Shadow the Adept Thief had slain Slodagh the orc warrior#November 11, 2025 at 14:02
Shadow the Adept Thief had slain an earth elemental#November 11, 2025 at 14:02
Lars the Grandmaster Fencer had slain a sapphire elemental#November 11, 2025 at 14:02
Lars the Grandmaster Fencer had slain a winter wolf#November 11, 2025 at 14:01
Lars the Grandmaster Fencer had slain Lusor the frost giant#November 11, 2025 at 14:01
Shadow the Adept Thief had slain a dust elemental#November 11, 2025 at 14:00
Shadow the Adept Thief had slain Frank the prowler#November 11, 2025 at 14:00
Lars the Grandmaster Fencer had slain an ice elemental#November 11, 2025 at 14:00
Shadow the Adept Thief had slain an earth elemental#November 11, 2025 at 14:00
Lars the Grandmaster Fencer had slain an arcticonda#November 11, 2025 at 13:59
Lars the Grandmaster Fencer had slain a frost troll shaman#November 11, 2025 at 13:59
Lars the Grandmaster Fencer had slain an ice serpent#November 11, 2025 at 13:59
Lars the Grandmaster Fencer had slain a frost troll shaman#November 11, 2025 at 13:59
Lars the Grandmaster Fencer had slain a yeti#November 11, 2025 at 13:59
Lars the Grandmaster Fencer had slain an ice snake#November 11, 2025 at 13:58
Lars the Grandmaster Fencer had slain an ice snake#November 11, 2025 at 13:58
Lars the Grandmaster Fencer had slain a water elemental#November 11, 2025 at 13:58
Lars the Grandmaster Fencer had slain Dlaxam the frost giant#November 11, 2025 at 13:58
Shadow the Adept Thief had slain Rhett the thief#November 11, 2025 at 13:57
Lars the Grandmaster Fencer had slain an ice steed#November 11, 2025 at 13:57
Shadow the Adept Thief had slain an air elemental#November 11, 2025 at 13:57
Lars the Grandmaster Fencer had slain an ice steed#November 11, 2025 at 13:57
Lars the Grandmaster Fencer had slain an ice snake#November 11, 2025 at 13:57
Shadow the Adept Thief had slain a fire elemental#November 11, 2025 at 13:57
Shadow the Adept Thief had slain a shadow iron elemental#November 11, 2025 at 13:56
Lars the Grandmaster Fencer had slain an arctic ogre#November 11, 2025 at 13:56
Lars the Grandmaster Fencer had slain an arctic ettin#November 11, 2025 at 13:56
Lars the Grandmaster Fencer had slain an arctic ogre lord#November 11, 2025 at 13:56
Shadow the Adept Thief had slain a scorpion#November 11, 2025 at 13:56
Shadow the Adept Thief had slain a scorpion#November 11, 2025 at 13:56
Lars the Grandmaster Fencer had slain an ice steed#November 11, 2025 at 13:56
Lars the Grandmaster Fencer had slain a winter wolf#November 11, 2025 at 13:56
Shadow the Adept Thief had slain Kraylin the wizard#November 11, 2025 at 13:55
Shadow the Adept Thief had slain a dread spider#November 11, 2025 at 13:55
Shadow the Adept Thief had slain a gazer#November 11, 2025 at 13:55
Shadow the Adept Thief had slain Julie the nomad#November 11, 2025 at 13:54
Shadow the Adept Thief had slain a gazer#November 11, 2025 at 13:52
Shadow the Adept Thief had slain Russell the champion#November 11, 2025 at 13:52
Shadow the Adept Thief had slain Carthona the wizard of elements#November 11, 2025 at 13:52
Shadow the Adept Thief had slain Lorrecka the witch of serpents#November 11, 2025 at 13:51
Shadow the Adept Thief had slain a scorpion#November 11, 2025 at 13:51
Shadow the Adept Thief had slain a fire elemental#November 11, 2025 at 13:51
Shadow the Adept Thief had slain a fire elemental#November 11, 2025 at 13:51
Raja Ampat the Legendary Archmage had slain Sagira the drakkul chieftain#November 11, 2025 at 13:51
Raja Ampat the Legendary Archmage had slain a drake#November 11, 2025 at 13:50
