DeathspeakerDarq The Dark Knight entered the Land of Sosaria#November 8, 2025 at 06:13
Sara the Titan of Ether entered the Cave of the Ancient Wyrm#November 8, 2025 at 06:09
Sara the Titan of Ether entered the Savaged Empire#November 8, 2025 at 06:08
Sara the Titan of Ether entered the Savaged Empire#November 8, 2025 at 06:08
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 06:08
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 06:08
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 06:08
Sara the Titan of Ether entered Teardrop Cave#November 8, 2025 at 06:08
Sara the Titan of Ether entered the Ethereal Void#November 8, 2025 at 06:08
Sara the Titan of Ether entered Teardrop Cave#November 8, 2025 at 06:08
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 06:07
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 06:07
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 06:07
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 06:07
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 05:58
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 05:58
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 05:57
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 05:46
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 05:46
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 05:45
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 05:45
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 05:45
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 05:45
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 05:45
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 05:44
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 05:44
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 05:44
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 05:44
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 05:18
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 05:18
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 05:17
