##############################
Log started on 10/20/2025 6:43:37 AM

10/20/2025 8:38:22 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:38:22 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:38:24 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:38:25 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:38:27 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:38:51 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/20/2025 8:38:55 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/20/2025 8:38:56 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:38:58 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:39:31 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/20/2025 8:39:34 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/20/2025 8:39:35 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/20/2025 8:39:44 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/20/2025 8:39:45 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/20/2025 8:40:16 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/20/2025 8:40:17 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/20/2025 8:40:21 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:40:31 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/20/2025 8:40:32 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/20/2025 8:40:37 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/20/2025 8:40:57 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:41:04 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:41:06 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:41:17 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:41:19 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/20/2025 8:41:20 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/20/2025 8:41:22 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:41:33 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/20/2025 8:41:35 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/20/2025 8:41:36 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/20/2025 8:41:49 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:41:51 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:42:11 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:42:13 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:42:14 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:43:25 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:43:27 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:44:02 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:44:04 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:44:05 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:44:06 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:44:08 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:44:10 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:44:19 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/20/2025 8:44:19 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/20/2025 8:44:57 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/20/2025 8:45:04 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/20/2025 8:45:04 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:45:06 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:45:06 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set4 '
10/20/2025 8:45:08 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:45:16 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:45:16 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:45:17 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:45:42 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/20/2025 8:46:00 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/20/2025 8:46:03 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/20/2025 8:46:12 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/20/2025 8:46:40 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:46:42 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:46:43 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:46:45 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/20/2025 8:47:07 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/20/2025 8:47:09 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:47:10 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:47:12 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:47:13 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:47:15 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:47:24 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:47:26 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:47:40 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:48:28 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:48:29 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:48:31 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:48:32 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:48:34 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/20/2025 8:48:46 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/20/2025 8:48:48 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/20/2025 8:48:50 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/20/2025 8:48:55 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
