##############################
Log started on 11/5/2025 1:14:28 AM

11/5/2025 5:47:57 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 5:48:00 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 5:48:07 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'epurge '
11/5/2025 5:48:07 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'epurge '
11/5/2025 5:48:08 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'epurge '
11/5/2025 5:48:09 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'epurge '
11/5/2025 5:48:10 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'epurge '
11/5/2025 5:48:14 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 5:48:14 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 5:48:15 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 5:48:16 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 5:48:17 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 5:48:23 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
11/5/2025 5:48:26 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
11/5/2025 5:48:27 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 5:50:58 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 5:51:10 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 5:51:24 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 6:03:18 AM: 179.191.139.13: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'c '
11/5/2025 6:06:00 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esteed '
11/5/2025 7:48:13 AM: 186.218.61.27: Player 0x403E1 "Karlayos" ('matayos') used command 'c '
11/5/2025 8:17:35 AM: 186.218.61.27: Player 0x1C6B1 "Dusekkar" ('craft') used command 'c '
11/5/2025 8:18:39 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'erestoration '
11/5/2025 8:21:04 AM: 179.191.139.13: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'c '
11/5/2025 8:29:39 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esteed '
11/5/2025 8:31:00 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 8:31:05 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 8:31:12 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ehavoc '
11/5/2025 8:31:18 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ehavoc '
11/5/2025 8:31:26 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 8:31:29 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 8:31:37 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ehavoc '
11/5/2025 8:31:44 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 8:31:45 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 8:31:50 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 8:31:58 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'eapocalypse '
11/5/2025 8:32:02 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebarrage '
11/5/2025 8:32:06 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 8:32:14 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 8:32:16 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 8:32:20 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebarrage '
11/5/2025 8:32:25 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 8:32:26 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 8:32:26 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 8:32:31 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 8:32:35 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
11/5/2025 8:32:36 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
11/5/2025 8:32:38 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
11/5/2025 8:32:40 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
11/5/2025 8:32:42 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 8:32:48 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
11/5/2025 8:32:49 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
11/5/2025 8:32:51 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
11/5/2025 8:32:53 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
11/5/2025 8:32:54 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 8:32:56 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 8:33:01 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 8:33:03 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 8:33:08 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ehavoc '
11/5/2025 8:33:13 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ehavoc '
11/5/2025 8:33:14 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ehavoc '
11/5/2025 8:33:17 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ehavoc '
11/5/2025 8:33:18 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ehavoc '
11/5/2025 8:33:25 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 8:33:43 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 8:34:07 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'erestoration '
11/5/2025 8:34:17 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ehavoc '
11/5/2025 8:34:21 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ehavoc '
11/5/2025 8:34:26 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ehavoc '
11/5/2025 8:34:27 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ehavoc '
11/5/2025 8:34:28 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ehavoc '
11/5/2025 8:34:34 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 8:34:35 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 8:34:40 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebarrage '
11/5/2025 8:34:49 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'erestoration '
11/5/2025 8:34:56 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'erestoration '
11/5/2025 8:35:57 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebarrage '
11/5/2025 8:36:00 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ehavoc '
11/5/2025 8:36:10 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebarrage '
11/5/2025 8:36:16 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebarrage '
11/5/2025 8:36:23 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
11/5/2025 8:36:25 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
11/5/2025 8:36:26 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 8:36:41 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'eapocalypse '
11/5/2025 8:36:45 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'eapocalypse '
11/5/2025 8:36:58 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'erestoration '
11/5/2025 8:37:00 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'erestoration '
11/5/2025 8:37:00 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'erestoration '
11/5/2025 8:37:03 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'erestoration '
11/5/2025 8:37:05 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'erestoration '
11/5/2025 8:37:06 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'erestoration '
11/5/2025 8:37:14 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'eapocalypse '
11/5/2025 8:37:20 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'eapocalypse '
11/5/2025 8:37:21 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'eapocalypse '
11/5/2025 8:37:59 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 8:38:11 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'eapocalypse '
11/5/2025 8:38:17 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebarrage '
11/5/2025 8:38:26 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebarrage '
11/5/2025 8:38:31 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebarrage '
11/5/2025 8:38:37 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'epurge '
11/5/2025 8:38:38 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'epurge '
11/5/2025 8:38:39 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'epurge '
11/5/2025 8:38:42 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'erestoration '
11/5/2025 8:38:45 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'erestoration '
11/5/2025 8:38:49 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'erestoration '
11/5/2025 8:38:56 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebarrage '
11/5/2025 8:39:00 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
11/5/2025 8:39:02 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
11/5/2025 8:39:04 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
11/5/2025 8:39:06 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
11/5/2025 8:39:08 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
11/5/2025 8:39:11 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
11/5/2025 8:39:13 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
11/5/2025 8:39:13 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 8:40:49 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebarrage '
11/5/2025 8:41:14 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebarrage '
11/5/2025 8:41:17 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebarrage '
11/5/2025 8:41:18 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebarrage '
11/5/2025 8:41:22 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
11/5/2025 8:41:24 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
11/5/2025 8:41:26 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
11/5/2025 8:41:28 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
11/5/2025 8:41:30 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
11/5/2025 8:41:35 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 8:41:42 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebarrage '
11/5/2025 8:41:45 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'erestoration '
11/5/2025 8:41:47 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'erestoration '
11/5/2025 8:41:49 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'erestoration '
11/5/2025 8:41:51 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'erestoration '
11/5/2025 8:41:54 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'erestoration '
11/5/2025 8:41:57 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'erestoration '
11/5/2025 8:42:00 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'erestoration '
11/5/2025 8:42:18 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esteed '
11/5/2025 8:42:19 AM: 179.191.139.13: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'c '
11/5/2025 8:42:32 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'eapocalypse '
11/5/2025 8:42:38 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'eapocalypse '
11/5/2025 8:42:39 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'eapocalypse '
11/5/2025 8:42:45 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 8:42:47 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 8:42:53 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'eapocalypse '
11/5/2025 8:42:54 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'eapocalypse '
11/5/2025 8:43:02 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 8:43:10 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
11/5/2025 8:43:12 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
11/5/2025 8:43:14 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
